perusahaan,Recency,Frequency,Monetary,IF_Label,IF_Score,Is_Outlier,Recency_Scaled,Frequency_Scaled,Monetary_Scaled
CV. Agar Sari Jaya,8,21,65744550,1,0.10489011978991,0,0.009749303621169917,0.6451612903225806,0.1477378209961888
CV. Bintang Indotech,392,2,4748580,1,0.2079589189096032,0,0.5445682451253482,0.03225806451612903,0.01029949730797542
CV. Cipta Mandiri,3,20,443983726,1,0.0081381849903732,0,0.0027855153203342623,0.6129032258064516,1.0
CV. Hans Mulia,208,2,129714600,1,0.1050407674850663,0,0.28830083565459613,0.03225806451612903,0.2918774492085312
CV. Jodo,388,1,27631285,1,0.171488504085195,0,0.5389972144846797,0.0,0.06185963507858385
CV. Karya Tembakau,613,1,55224476,1,0.0915599562821855,0,0.8523676880222841,0.0,0.12403361011740519
CV. Mak Enak,285,1,15734250,1,0.2215181804306998,0,0.3955431754874652,0.0,0.03505280591823107
CV. Perdana Jaya,676,1,9023400,1,0.1826650252936825,0,0.9401114206128134,0.0,0.019931676202234308
CV. Putra Mas Sejahtera,718,1,5705000,1,0.1413689562442758,0,0.9986072423398329,0.0,0.012454537412131171
CV. Sakatama Teknik,392,1,6493167,1,0.2154571417452254,0,0.5445682451253482,0.0,0.014230463776879006
CV. Sari Mutiara,203,9,12979225,1,0.156334477494715,0,0.28133704735376047,0.25806451612903225,0.02884508403563587
CV. Sumber Rejeki,677,1,900000,1,0.1808955573872581,0,0.9415041782729805,0.0,0.0016277377838628576
CV. Teknik Gemilang,266,2,1221000,1,0.2197761499273398,0,0.3690807799442897,0.03225806451612903,0.002351026583170689
CV. Tirta Persada,185,1,11544000,1,0.2468638301089659,0,0.2562674094707521,0.0,0.02561118320390197
PT. Andalan Fluid,434,3,9324000,1,0.161728936852828,0,0.6030640668523677,0.06451612903225806,0.020608998984389868
PT. Aneka Tirta,616,1,3524250,1,0.2061662373186305,0,0.8565459610027856,0.0,0.007540792710914495
PT. Antarmitra Sentosa,112,1,3330000,1,0.2245898571344409,0,0.15459610027855153,0.0,0.007103101591707186
PT. Arisu Indonesia,299,2,8326250,1,0.2296987073976188,0,0.415041782729805,0.03225806451612903,0.018360832630778066
PT. Arthajaya,167,1,5896680,1,0.2475029573816563,0,0.23119777158774374,0.0,0.012886437714471748
PT. Aston Sidoarjo,391,1,666000,1,0.2102141707779283,0,0.5431754874651811,0.0,0.0011004805282926627
PT. Batara Elok,59,3,11263200,1,0.2079400835978572,0,0.08077994428969358,0.06451612903225806,0.024978474497217736
PT. Berkah Emas,81,2,8168000,1,0.2253792843970322,0,0.11142061281337047,0.03225806451612903,0.01800425801242771
PT. Bestagar Pureindo,309,1,16260222,1,0.2152403651770706,0,0.42896935933147634,0.0,0.036237945034584766
PT. Bina Karya,574,1,16650000,1,0.1553549664076996,0,0.7980501392757661,0.0,0.03711620690877981
PT. Bumi Industri,146,1,9324000,1,0.2431803313066551,0,0.201949860724234,0.0,0.020608998984389868
PT. Canada Green,111,1,11100041,1,0.2286253594229274,0,0.1532033426183844,0.0,0.024610838742681083
PT. Cefila,607,1,3109000,1,0.2092937054202527,0,0.8440111420612814,0.0,0.006605136405890891
PT. Central Pertiwi Bahari,4,21,112072400,1,0.1209751089114862,0,0.004178272980501393,0.6451612903225806,0.2521254066691274
PT. Central Proterna,340,1,7770000,1,0.2277234439483922,0,0.4721448467966574,0.0,0.017107470030731396
PT. Cheetham Flores,112,4,6262670,1,0.2178910771869521,0,0.15459610027855153,0.0967741935483871,0.01371109960748942
PT. Cipta Perkasa,665,1,5039400,1,0.191977449811971,0,0.924791086350975,0.0,0.010954783440731506
PT. Dunia Kimia,417,2,15318000,1,0.1885857427448813,0,0.5793871866295265,0.03225806451612903,0.034114896377072546
PT. Duta Agung,99,3,22414500,1,0.2217902356848057,0,0.13649025069637882,0.06451612903225806,0.050104986608499415
PT. Efral Berkat,158,1,2109000,1,0.2354966213421299,0,0.21866295264623956,0.0,0.00435190027097553
PT. Emerald Seaweed Indonesia,631,3,51224835,1,0.0762666625454023,0,0.8774373259052926,0.06451612903225806,0.11502147448951618
PT. Ensual Putera A,60,6,70599688,1,0.1590917015163067,0,0.08217270194986072,0.16129032258064516,0.1586775933777895
PT. Fruit-ing I,376,2,2586300,1,0.1999438067802228,0,0.5222841225626741,0.03225806451612903,0.005427369878170632
PT. Gading Mas Indonesia Timur,386,3,13833750,1,0.2007130621706288,0,0.5362116991643454,0.06451612903225806,0.03077053064382442
PT. Garudafood,1,21,81792754,1,0.1177683548752559,0,0.0,0.6451612903225806,0.18389821414948204
PT. Gloster Furniture,314,2,12049000,1,0.2290038878836423,0,0.435933147632312,0.03225806451612903,0.026749067452034227
PT. Gold Coin,339,1,10878000,1,0.2217873067786304,0,0.47075208913649025,0.0,0.02411052793804834
PT. Gunung Slamat,719,1,7500000,1,0.1263485646087335,0,1.0,0.0,0.016499096274304247
PT. Hasil Abadi,172,3,19016500,1,0.2347490426156274,0,0.23816155988857937,0.06451612903225806,0.04244849022205701
PT. Hoka Jaya I,531,1,355200,1,0.1850074434482347,0,0.7381615598885795,0.0,0.00040017473756096824
PT. Hopax Indonesia,68,25,127787904,1,0.107799410177222,0,0.09331476323119776,0.7741935483870968,0.28753614816033435
PT. Implora Sukses A,157,2,6725823,1,0.2462520273138722,0,0.21727019498607242,0.03225806451612903,0.014754692683083876
PT. Indal Steel,218,1,11724930,1,0.24003946708654,0,0.30222841225626745,0.0,0.02601886121779221
PT. Indo Pack B,522,2,49098468,1,0.116753760864789,0,0.7256267409470752,0.03225806451612903,0.11023026752902461
PT. Indo Tirta,148,2,6937500,1,0.244648839386489,0,0.20473537604456823,0.03225806451612903,0.015231650948414355
PT. Indonesia Multi,643,1,38258925,1,0.1179522516071794,0,0.8941504178272981,0.0,0.08580621755545574
PT. Indonesia Pratama,97,17,156030630,1,0.113939600323498,0,0.13370473537604458,0.5161290322580645,0.35117367893204793
PT. Indopack,59,3,39745770,1,0.1840915760564215,0,0.08077994428969358,0.06451612903225806,0.08915643043647396
PT. Indoroti Prima C,511,1,999000,1,0.1873180745704287,0,0.7103064066852368,0.0,0.0018508081612194785
PT. Indra Jaya,241,1,943500,1,0.2259424121406016,0,0.3342618384401114,0.0,0.001725753555731676
PT. Inovasi Teknologi K,228,2,49914480,1,0.195001570994614,0,0.3161559888579387,0.03225806451612903,0.11206893525394916
PT. Irawan Djaja,263,1,2109000,1,0.2260402813375137,0,0.36490250696378834,0.0,0.00435190027097553
PT. Japfa Comfeed Indonesia,596,3,4842500,1,0.1274272970860658,0,0.8286908077994429,0.06451612903225806,0.010511121245766671
PT. Jasuindo Tiga,68,13,34843458,1,0.1437588754998974,0,0.09331476323119776,0.3870967741935484,0.07811036389344476
PT. Jawa Power,328,5,33887550,1,0.1660902385163141,0,0.4554317548746518,0.12903225806451613,0.0759564774461901
PT. Jayamas Medika,147,14,83567635,1,0.1061116600020465,0,0.2033426183844011,0.4193548387096774,0.18789744015385676
PT. Jebe Koko,66,8,42929250,1,0.1764049041975299,0,0.0905292479108635,0.22580645161290322,0.09632956260725432
PT. Jolti Dakkar,329,5,27933000,1,0.1752375070860617,0,0.456824512534819,0.12903225806451613,0.06253947021902984
PT. Karet Gelang,502,1,5416800,1,0.191516112169288,0,0.6977715877437326,0.0,0.011805154758048563
PT. Karya Terang Sedati,214,3,55009513,1,0.1746555824022348,0,0.2966573816155989,0.06451612903225806,0.12354924771813537
PT. Kebun Tebu Mas,207,10,95996130,1,0.0994563877072753,0,0.28690807799442897,0.29032258064516125,0.21590177419047166
PT. Kedawung Subur,210,6,10458935,1,0.1999410796149611,0,0.2910863509749304,0.16129032258064516,0.023166275537170034
PT. Kencar Sukses,363,6,43136000,1,0.114127619450837,0,0.5041782729805014,0.16129032258064516,0.09679541917814807
PT. Kobe Boga,692,1,47288180,1,0.0861992286409345,0,0.9623955431754875,0.0,0.10615126119282094
PT. Kolang Citra Abadi,333,2,5990859,1,0.2226324120371278,0,0.4623955431754875,0.03225806451612903,0.013098645240421942
PT. Kosmetika Global,98,1,3385500,1,0.2169848225846903,0,0.13509749303621169,0.0,0.007228156197194989
PT. Lab Medika,276,1,1486290,1,0.222457517595791,0,0.38300835654596105,0.0,0.002948787597402385
PT. Lautan Natural,140,5,20574800,1,0.215663848214319,0,0.1935933147632312,0.12903225806451613,0.04595970809109562
PT. Lesaffre Sari,110,3,16428000,1,0.2357207213878082,0,0.15181058495821725,0.06451612903225806,0.0366159884868286
PT. Maan Ghodago,125,1,6000993,1,0.2366643786574854,0,0.17270194986072424,0.0,0.013121479535413174
PT. Mas Sentosa,252,2,39649200,1,0.2003930281185444,0,0.34958217270194986,0.03225806451612903,0.08893883542292519
PT. Mas Toyobo A,160,1,177600,1,0.2220418056223043,0,0.2214484679665738,0.0,0.0
PT. Mega Global,78,7,18455710,1,0.198706318648775,0,0.10724233983286907,0.1935483870967742,0.041184897929957824
PT. Mega Surya Eratama,630,1,2886000,1,0.2056424241153451,0,0.8760445682451253,0.0,0.006102664747804766
PT. Mega Surya Mas,116,7,15752010,1,0.1949656606481909,0,0.16016713091922005,0.1935483870967742,0.03509282339198716
PT. Midi Utama,677,8,6741000,1,0.0221238007065753,0,0.9415041782729805,0.22580645161290322,0.014788890047903486
PT. Mitra Citra Mandiri,232,2,17394800,1,0.2334443140054261,0,0.32172701949860727,0.03225806451612903,0.03879441718206477
PT. Mitra Mulia Makmur,69,2,13042500,1,0.2257750106928399,0,0.0947075208913649,0.03225806451612903,0.02898765755207264
