perusahaan,Recency,Frequency,Monetary,IF_Label,IF_Score,Is_Outlier
CV. Agar Sari Jaya,8,21,65744550,1,0.10489011978991003,0
CV. Bintang Indotech,392,2,4748580,1,0.20795891890960327,0
CV. Cipta Mandiri,3,20,443983726,1,0.00813818499037322,0
CV. Hans Mulia,208,2,129714600,1,0.1050407674850663,0
CV. Jodo,388,1,27631285,1,0.171488504085195,0
CV. Karya Tembakau,613,1,55224476,1,0.0915599562821855,0
CV. Mak Enak,285,1,15734250,1,0.22151818043069982,0
CV. Perdana Jaya,676,1,9023400,1,0.1826650252936825,0
CV. Putra Mas Sejahtera,718,1,5705000,1,0.1413689562442758,0
CV. Sakatama Teknik,392,1,6493167,1,0.2154571417452254,0
CV. Sari Mutiara,203,9,12979225,1,0.15633447749471507,0
CV. Sumber Rejeki,677,1,900000,1,0.18089555738725815,0
CV. Teknik Gemilang,266,2,1221000,1,0.21977614992733985,0
CV. Tirta Persada,185,1,11544000,1,0.24686383010896595,0
PT. Andalan Fluid,434,3,9324000,1,0.16172893685282808,0
PT. Aneka Tirta,616,1,3524250,1,0.20616623731863054,0
PT. Antarmitra Sentosa,112,1,3330000,1,0.2245898571344409,0
PT. Arisu Indonesia,299,2,8326250,1,0.22969870739761883,0
PT. Arthajaya,167,1,5896680,1,0.24750295738165634,0
PT. Aston Sidoarjo,391,1,666000,1,0.21021417077792837,0
PT. Batara Elok,59,3,11263200,1,0.20794008359785726,0
PT. Berkah Emas,81,2,8168000,1,0.2253792843970322,0
PT. Bestagar Pureindo,309,1,16260222,1,0.21524036517707068,0
PT. Bina Karya,574,1,16650000,1,0.15535496640769964,0
PT. Bumi Industri,146,1,9324000,1,0.24318033130665512,0
PT. Canada Green,111,1,11100041,1,0.22862535942292744,0
PT. Cefila,607,1,3109000,1,0.20929370542025277,0
PT. Central Pertiwi Bahari,4,21,112072400,1,0.12097510891148622,0
PT. Central Proterna,340,1,7770000,1,0.22772344394839228,0
PT. Cheetham Flores,112,4,6262670,1,0.2178910771869521,0
PT. Cipta Perkasa,665,1,5039400,1,0.191977449811971,0
PT. Dunia Kimia,417,2,15318000,1,0.18858574274488138,0
PT. Duta Agung,99,3,22414500,1,0.22179023568480577,0
PT. Efral Berkat,158,1,2109000,1,0.2354966213421299,0
PT. Emerald Seaweed Indonesia,631,3,51224835,1,0.07626666254540237,0
PT. Ensual Putera A,60,6,70599688,1,0.15909170151630675,0
PT. Fruit-ing I,376,2,2586300,1,0.19994380678022283,0
PT. Gading Mas Indonesia Timur,386,3,13833750,1,0.20071306217062884,0
PT. Garudafood,1,21,81792754,1,0.11776835487525594,0
PT. Gloster Furniture,314,2,12049000,1,0.2290038878836423,0
PT. Gold Coin,339,1,10878000,1,0.2217873067786304,0
PT. Gunung Slamat,719,1,7500000,1,0.12634856460873356,0
PT. Hasil Abadi,172,3,19016500,1,0.23474904261562746,0
PT. Hoka Jaya I,531,1,355200,1,0.18500744344823478,0
PT. Hopax Indonesia,68,25,127787904,1,0.10779941017722205,0
PT. Implora Sukses A,157,2,6725823,1,0.2462520273138722,0
PT. Indal Steel,218,1,11724930,1,0.24003946708654006,0
PT. Indo Pack B,522,2,49098468,1,0.116753760864789,0
PT. Indo Tirta,148,2,6937500,1,0.24464883938648901,0
